Sample ID,Site Type,Site Code,Site name,Site Grid Ref.,Visit date,Notes,Grid Ref.,Mean % Sun,Recorder Name,Start Time,End Time,% Sun,% Cloud,Temp (Deg C) term ID,Temp (Deg C) term,Wind Direction term ID,Wind Direction term,Wind Speed term ID,Wind Speed term,Reliability term ID,Reliability term
6022527,Transect,EBMS:Italy:29,"Pian del Re, RF2",44.70125N 7.09202E,30/07/2018,,44.70125N 7.09202E,,Monviso Natural Park,11:39,12:39,70,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022529,Transect,EBMS:Italy:29,"Pian del Re, RF2",44.70125N 7.09202E,24/08/2018,,44.70125N 7.09202E,,Monviso Natural Park,09:50,10:50,90,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022034,Transect,EBMS:Italy:3,Villarboit- San Marco- Bertacco,45.463167N 8.311056E,16/05/2018,,45.463167N 8.311056E,,"Italian Butterfly Group,",10:40,11:05,,,16541,21,,,2456,4. Dust raised and small branches move,,
12099126,Transect,EBMS:Italy:3,Villarboit- San Marco- Bertacco,45.463167N 8.311056E,16/05/2018,,45.463167N 8.311056E,,,,,,,,,,,,,,
6022062,Transect,EBMS:Italy:3,Villarboit- San Marco- Bertacco,45.463167N 8.311056E,31/05/2018,,45.463167N 8.311056E,,"Italian Butterfly Group,",15:00,15:40,,,16544,24,,,2454,"2. Wind felt on face, leaves rustle",,
6022090,Transect,EBMS:Italy:3,Villarboit- San Marco- Bertacco,45.463167N 8.311056E,19/06/2018,,45.463167N 8.311056E,,"Italian Butterfly Group,",15:00,15:25,,,16547,27,,,2453,1. Slight smoke drift,,
6022118,Transect,EBMS:Italy:3,Villarboit- San Marco- Bertacco,45.463167N 8.311056E,06/07/2018,,45.463167N 8.311056E,,"Italian Butterfly Group,",12:30,13:00,,,16549,29,,,2453,1. Slight smoke drift,,
6022153,Transect,EBMS:Italy:3,Villarboit- San Marco- Bertacco,45.463167N 8.311056E,27/07/2018,,45.463167N 8.311056E,,"Italian Butterfly Group,",15:00,15:30,,,16550,30,,,2453,1. Slight smoke drift,,
6022185,Transect,EBMS:Italy:3,Villarboit- San Marco- Bertacco,45.463167N 8.311056E,06/08/2018,,45.463167N 8.311056E,,"Italian Butterfly Group,",13:15,13:40,,,16552,32,,,2453,1. Slight smoke drift,,
6022216,Transect,EBMS:Italy:3,Villarboit- San Marco- Bertacco,45.463167N 8.311056E,20/08/2018,,45.463167N 8.311056E,,"Italian Butterfly Group,",10:05,10:35,,,16549,29,,,2453,1. Slight smoke drift,,
6022241,Transect,EBMS:Italy:3,Villarboit- San Marco- Bertacco,45.463167N 8.311056E,13/09/2018,,45.463167N 8.311056E,,"Italian Butterfly Group,",17:00,17:35,,,16549,29,,,2455,3. Leaves and twigs in slight motion,,
6022490,Transect,EBMS:Italy:30,"Pian Fiorenza, RF1",44.6984N 7.1060E,01/07/2018,,44.6984N 7.1060E,,Monviso Natural Park,13:43,14:43,40,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022492,Transect,EBMS:Italy:30,"Pian Fiorenza, RF1",44.6984N 7.1060E,18/07/2018,,44.6984N 7.1060E,,Monviso Natural Park,14:42,15:42,60,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022519,Transect,EBMS:Italy:30,"Pian Fiorenza, RF1",44.6984N 7.1060E,31/07/2018,,44.6984N 7.1060E,,Monviso Natural Park,12:07,13:07,50,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022521,Transect,EBMS:Italy:30,"Pian Fiorenza, RF1",44.6984N 7.1060E,24/08/2018,,44.6984N 7.1060E,,Monviso Natural Park,11:35,12:35,70,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022399,Transect,EBMS:Italy:31,"Rocca Bianca, AF1",44.66655N 7.16593E,30/06/2018,,44.66655N 7.16593E,,Monviso Natural Park,14:50,15:50,70,,16545,25,,,2454,"2. Wind felt on face, leaves rustle",,
6022401,Transect,EBMS:Italy:31,"Rocca Bianca, AF1",44.66655N 7.16593E,18/07/2018,,44.66655N 7.16593E,,Monviso Natural Park,12:32,13:32,70,,16545,25,,,2454,"2. Wind felt on face, leaves rustle",,
6022403,Transect,EBMS:Italy:31,"Rocca Bianca, AF1",44.66655N 7.16593E,29/07/2018,,44.66655N 7.16593E,,Monviso Natural Park,12:25,13:25,40,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022405,Transect,EBMS:Italy:31,"Rocca Bianca, AF1",44.66655N 7.16593E,16/08/2018,,44.66655N 7.16593E,,Monviso Natural Park,11:45,12:45,50,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022391,Transect,EBMS:Italy:32,"Rocca Bianca, AB2",44.66563N 7.16129E,30/06/2018,,44.66563N 7.16129E,,Monviso Natural Park,13:30,14:30,60,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022388,Transect,EBMS:Italy:32,"Rocca Bianca, AB2",44.66563N 7.16129E,13/07/2018,,44.66563N 7.16129E,,Monviso Natural Park,09:45,10:45,60,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022390,Transect,EBMS:Italy:32,"Rocca Bianca, AB2",44.66563N 7.16129E,29/07/2018,,44.66563N 7.16129E,,Monviso Natural Park,11:06,12:06,50,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022397,Transect,EBMS:Italy:32,"Rocca Bianca, AB2",44.66563N 7.16129E,11/08/2018,,44.66563N 7.16129E,,Monviso Natural Park,11:10,12:10,70,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
6022058,Transect,EBMS:Italy:4,Rovasenda-stocchi,45.545444N 8.322750E,16/05/2018,,45.545444N 8.322750E,,"Italian Butterfly Group,",12:20,12:45,,,16541,21,,,2456,4. Dust raised and small branches move,,
6022086,Transect,EBMS:Italy:4,Rovasenda-stocchi,45.545444N 8.322750E,31/05/2018,,45.545444N 8.322750E,,"Italian Butterfly Group,",10:30,11:00,,,16544,24,,,2453,1. Slight smoke drift,,
6022114,Transect,EBMS:Italy:4,Rovasenda-stocchi,45.545444N 8.322750E,19/06/2018,,45.545444N 8.322750E,,"Italian Butterfly Group,",12:50,13:15,,,16546,26,,,2453,1. Slight smoke drift,,
6022149,Transect,EBMS:Italy:4,Rovasenda-stocchi,45.545444N 8.322750E,06/07/2018,,45.545444N 8.322750E,,"Italian Butterfly Group,",14:00,14:30,,,16549,29,,,2455,3. Leaves and twigs in slight motion,,
6022181,Transect,EBMS:Italy:4,Rovasenda-stocchi,45.545444N 8.322750E,27/07/2018,,45.545444N 8.322750E,,"Italian Butterfly Group,",12:50,13:20,,,16550,30,,,2453,1. Slight smoke drift,,
6022209,Transect,EBMS:Italy:4,Rovasenda-stocchi,45.545444N 8.322750E,06/08/2018,,45.545444N 8.322750E,,"Italian Butterfly Group,",15:10,15:35,,,16550,30,,,2453,1. Slight smoke drift,,
6022265,Transect,EBMS:Italy:4,Rovasenda-stocchi,45.545444N 8.322750E,20/08/2018,,45.545444N 8.322750E,,"Italian Butterfly Group,",15:00,15:30,,,16550,30,,,2454,"2. Wind felt on face, leaves rustle",,
6022237,Transect,EBMS:Italy:4,Rovasenda-stocchi,45.545444N 8.322750E,20/08/2018,,45.545444N 8.322750E,,"Italian Butterfly Group,",13:10,13:45,,,16552,32,,,2453,1. Slight smoke drift,,
