Sample ID,Site Type,Site Code,Site name,Site Grid Ref.,Visit date,Notes,Grid Ref.,Mean % Sun,Recorder Name,Start Time,End Time,% Sun,% Cloud,Temp (Deg C) term ID,Temp (Deg C) term,Wind Direction term ID,Wind Direction term,Wind Speed term ID,Wind Speed term,Reliability term ID,Reliability term
6425118,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",21/06/2017,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,13:55,14:45,,,16539,19,,,2455,3. Leaves and twigs in slight motion,,
6425054,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",03/07/2017,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,16:40,17:10,,,16538,18,,,2455,3. Leaves and twigs in slight motion,,
6424622,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",15/07/2017,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,14:55,15:40,,,16539,19,,,2453,1. Slight smoke drift,,
6424558,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",02/08/2017,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,12:30,13:20,,,16540,20,,,2606,0. Smoke rises vertically,,
6424465,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",16/08/2017,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,11:10,12:00,,,16538,18,,,2453,1. Slight smoke drift,,
6424412,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",29/08/2017,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,14:30,14:55,,,16540,20,,,2453,1. Slight smoke drift,,
6419967,Transect,EBMS:Italy:17,Pian Sengio,"45.460250, 7.316694",13/09/2017,,"45.460250, 7.316694",,Parco Nazionale Gran Paradiso,14:45,15:30,,,16535,15,,,2455,3. Leaves and twigs in slight motion,,
6021948,Transect,EBMS:Italy:26,Fossiata,39.39471N 16.60127E,12/05/2017,,39.39471N 16.60127E,,"Italian Butterfly Group,",14:45,15:05,90,,16556,Not recorded/no data,,,2459,Not recorded/no data,,
6021949,Transect,EBMS:Italy:26,Fossiata,39.39471N 16.60127E,31/05/2017,,39.39471N 16.60127E,,"Italian Butterfly Group,",11:00,11:30,60,,16556,Not recorded/no data,,,2459,Not recorded/no data,,
6021274,Transect,EBMS:Italy:26,Fossiata,39.39471N 16.60127E,09/06/2017,,39.39471N 16.60127E,,"Italian Butterfly Group,",10:30,11:30,100,,16556,Not recorded/no data,,,2459,Not recorded/no data,,
6021374,Transect,EBMS:Italy:26,Fossiata,39.39471N 16.60127E,20/06/2017,,39.39471N 16.60127E,,"Italian Butterfly Group,",10:25,11:10,100,,16556,Not recorded/no data,2460,Not recorded/no data,2459,Not recorded/no data,,
6010912,Transect,EBMS:Italy:26,Fossiata,39.39471N 16.60127E,06/07/2017,,39.39471N 16.60127E,,"Italian Butterfly Group,",10:00,10:45,100,,16556,Not recorded/no data,,,2459,Not recorded/no data,,
6021954,Transect,EBMS:Italy:26,Fossiata,39.39471N 16.60127E,18/07/2017,,39.39471N 16.60127E,,"Italian Butterfly Group,",10:00,10:35,100,,16556,Not recorded/no data,,,2459,Not recorded/no data,,
6021956,Transect,EBMS:Italy:26,Fossiata,39.39471N 16.60127E,31/07/2017,,39.39471N 16.60127E,,"Italian Butterfly Group,",10:25,10:55,100,,16556,Not recorded/no data,,,2459,Not recorded/no data,,
6021958,Transect,EBMS:Italy:26,Fossiata,39.39471N 16.60127E,18/08/2017,,39.39471N 16.60127E,,"Italian Butterfly Group,",09:25,09:50,100,,16556,Not recorded/no data,,,2459,Not recorded/no data,,
6011559,Transect,EBMS:Italy:26,Fossiata,39.39471N 16.60127E,14/09/2017,,39.39471N 16.60127E,,"Italian Butterfly Group,",10:45,11:15,75,,16556,Not recorded/no data,,,2459,Not recorded/no data,,
