Sample ID,Site Type,Site Code,Site name,Site Grid Ref.,Visit date,Notes,Grid Ref.,Mean % Sun,Recorder Name,Start Time,End Time,% Sun,% Cloud,Temp (Deg C) term ID,Temp (Deg C) term,Wind Direction term ID,Wind Direction term,Wind Speed term ID,Wind Speed term,Reliability term ID,Reliability term
10603124,Transect,EBMS:Italia:24,IT5190008 Lago di Montepulciano,43.10191N 11.91674E,18/04/2019,,43.10191N 11.91674E,,"Favilli, Leonardo",13:00,13:25,,,16541,21,,,2454,"2. Wind felt on face, leaves rustle",,
10619677,Transect,EBMS:Italia:24,IT5190008 Lago di Montepulciano,43.10191N 11.91674E,02/05/2019,,43.10191N 11.91674E,,"Favilli, Leonardo",13:00,13:27,,,16541,21,,,2454,"2. Wind felt on face, leaves rustle",,
10630518,Transect,EBMS:Italia:24,IT5190008 Lago di Montepulciano,43.10191N 11.91674E,09/05/2019,,43.10191N 11.91674E,,"Favilli, Leonardo",13:00,13:25,,,16540,20,,,2455,3. Leaves and twigs in slight motion,,
10642918,Transect,EBMS:Italia:24,IT5190008 Lago di Montepulciano,43.10191N 11.91674E,17/05/2019,,43.10191N 11.91674E,,"Favilli, Leonardo",12:50,13:16,,,16540,20,,,2454,"2. Wind felt on face, leaves rustle",,
10651813,Transect,EBMS:Italia:24,IT5190008 Lago di Montepulciano,43.10191N 11.91674E,25/05/2019,,43.10191N 11.91674E,,"Favilli, Leonardo",12:45,13:10,,,16541,21,,,2455,3. Leaves and twigs in slight motion,,
12099094,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,07/01/2019,,45.01009N 7.6256E,,,,,,,,,,,,,,
12099106,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,07/01/2019,,45.01009N 7.6256E,,,,,,,,,,,,,,
12099124,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,14/01/2019,,45.01009N 7.6256E,,,,,,,,,,,,,,
6444131,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,15/03/2019,,45.01009N 7.6256E,,"Italian Butterfly Group,",13:00,15:00,,,16542,22,,,2606,0. Smoke rises vertically,,
12099110,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,01/04/2019,,45.01009N 7.6256E,,,,,,,,,,,,,,
6444264,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,05/04/2019,,45.01009N 7.6256E,,"Italian Butterfly Group,",13:00,15:00,,,16538,18,,,2459,Not recorded/no data,,
6444890,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,18/04/2019,,45.01009N 7.6256E,,"Italian Butterfly Group,",13:00,15:00,,,16541,21,,,2459,Not recorded/no data,,
6444960,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,06/05/2019,,45.01009N 7.6256E,,"Italian Butterfly Group,",13:00,15:00,,,16538,18,,,2459,Not recorded/no data,,
6448947,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,21/05/2019,,45.01009N 7.6256E,,"Italian Butterfly Group,",13:00,15:00,,,16544,24,,,2459,Not recorded/no data,,
6449067,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,04/06/2019,,45.01009N 7.6256E,,"Italian Butterfly Group,",13:00,15:00,,,16550,30,,,2606,0. Smoke rises vertically,,
6449100,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,18/06/2019,,45.01009N 7.6256E,,"Italian Butterfly Group,",13:00,15:00,,,16550,30,,,2459,Not recorded/no data,,
6449164,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,02/07/2019,,45.01009N 7.6256E,,"Italian Butterfly Group,",13:00,15:00,,,16554,34,,,2459,Not recorded/no data,,
6449714,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,16/07/2019,,45.01009N 7.6256E,,"Italian Butterfly Group,",13:00,15:00,,,16550,30,,,2459,Not recorded/no data,,
6450016,Transect,EBMS:Italy:1,Turin - Parco Piemonte,45.01009N 7.6256E,30/07/2019,,45.01009N 7.6256E,,"Italian Butterfly Group,",13:00,15:00,,,16549,29,,,2459,Not recorded/no data,,
6136527,Transect,EBMS:Italy:15,Difesa-Saporito,39.32141N 16.21997E,02/07/2019,,39.32141N 16.21997E,,"Italian Butterfly Group,",09:20,10:15,100,,16556,Not recorded/no data,2460,Not recorded/no data,2459,Not recorded/no data,,
6833839,Transect,EBMS:Italy:15,Difesa-Saporito,39.32141N 16.21997E,18/07/2019,,39.32141N 16.21997E,,"Italian Butterfly Group,",10:45,11:30,100,,16556,Not recorded/no data,2460,Not recorded/no data,2459,Not recorded/no data,,
6833855,Transect,EBMS:Italy:15,Difesa-Saporito,39.32141N 16.21997E,17/08/2019,,39.32141N 16.21997E,,"Italian Butterfly Group,",16:30,17:10,100,,16556,Not recorded/no data,2460,Not recorded/no data,2459,Not recorded/no data,,
6833885,Transect,EBMS:Italy:15,Difesa-Saporito,39.32141N 16.21997E,29/08/2019,,39.32141N 16.21997E,,"Italian Butterfly Group,",10:15,11:00,100,,16556,Not recorded/no data,2460,Not recorded/no data,2459,Not recorded/no data,,
6833902,Transect,EBMS:Italy:15,Difesa-Saporito,39.32141N 16.21997E,14/09/2019,,39.32141N 16.21997E,,"Italian Butterfly Group,",10:30,11:00,100,,16556,Not recorded/no data,2460,Not recorded/no data,2459,Not recorded/no data,,
6413481,Transect,EBMS:Italy:18,Orto Botanico Università della Calabria,39.35907N 16.22927E,24/07/2019,,39.35907N 16.22927E,,"Italian Butterfly Group,",10:54,11:40,100,,16556,Not recorded/no data,2460,Not recorded/no data,2459,Not recorded/no data,,
6763703,Transect,EBMS:Italy:18,Orto Botanico Università della Calabria,39.35907N 16.22927E,10/09/2019,,39.35907N 16.22927E,,Antonio Mazzei,13:15,14:30,75,,16543,23,2460,Not recorded/no data,2453,1. Slight smoke drift,,
6847748,Transect,EBMS:Italy:18,Orto Botanico Università della Calabria,39.35907N 16.22927E,02/10/2019,,39.35907N 16.22927E,,Antonio Mazzei,11:00,12:05,100,,16545,25,2463,W,2453,1. Slight smoke drift,,
6022280,Transect,EBMS:Italy:19,Giaglione 2,45.130833 6.990278,13/03/2019,,45.130833 6.990278,,"Italian Butterfly Group,",13:02,13:33,,,16531,11,,,2456,4. Dust raised and small branches move,,
